"","X","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"255",252,"Samaje Perine","RB","DEN",75,45.2,0.781,8.19,149,-68.8,-93,-20.6,255,352,166,54,12,176,2.26,96,173,-98,-96
"256",253,"Ray Davis","RB","BUF",74.3,11.9,1.86,60.6,94.4,-69.6,-40.6,-75.2,256,211,285,55,12,157,2.78,59,173,-98.7,-96.7
"257",254,"Dalvin Cook","RB","FA",72.4,,0.481,,,-71.5,,,257,,,56,12,,,83,173,-100.6,-98.6
"258",255,"Kendre Miller","RB","NO",71.9,22.9,1.07,30.6,98,-71.9,-70.6,-71.6,258,265,279,57,13,163,2,80,173,-101.1,-99.1
"259",256,"Braelon Allen","RB","NYJ",70.8,19.2,0.601,49.6,102,-73,-51.5,-67.5,259,230,265,58,13,162,1.88,74,173,-102.2,-100.2
"260",257,"Alexander Mattison","RB","LVR",70.2,9.32,0.0444,53.3,78.9,-73.6,-47.9,-90.7,260,221,316,59,13,159,5.98,39,173,-102.8,-100.8
"261",258,"Leonard Fournette","RB","FA",70.2,,0.0677,,,-73.7,,,260,,,59,13,,,99,173,-102.8,-100.8
"262",259,"Roschon Johnson","RB","CHI",70.1,21.3,0.684,41.1,98.9,-73.7,-60.1,-70.7,262,244,276,61,13,172,2.34,70,173,-102.9,-100.9
"263",261,"Clyde Edwards-Helaire","RB","KC",69.4,28,0.889,29.7,107,-74.4,-71.5,-62.7,263,266,258,62,13,182,2.2,86,173,-103.6,-101.6
"264",262,"Bucky Irving","RB","TB",68.6,15.6,0.465,57.1,97.3,-75.3,-44.1,-72.3,264,216,281,63,13,152,2.02,61,173,-104.4,-102.4
"265",263,"Jamaal Williams","RB","NO",68.1,11.8,1.19,47.4,81.1,-75.8,-53.8,-88.5,265,238,313,64,13,188,1.92,43,173,-104.9,-102.9
"266",265,"Damien Harris","RB","FA",66.9,,0.432,,,-77,,,266,,,65,13,,,,173,-106.1,-104.1
"267",267,"Elijah Mitchell","RB","SF",66.5,15.9,0.879,42.9,87.2,-77.4,-58.2,-82.5,267,241,302,66,13,164,3.09,51,173,-106.5,-104.5
"268",268,"Miles Sanders","RB","CAR",65.6,18.9,0.218,32.8,84.9,-78.3,-68.4,-84.7,268,259,306,67,13,185,4.14,79,173,-107.4,-105.4
"269",269,"Kenneth Gainwell","RB","PHI",65.4,25.8,0.131,31.9,100,-78.5,-69.3,-69.1,269,261,271,68,13,184,2.03,84,173,-107.6,-105.6
"270",270,"DOnta Foreman","RB","CLE",65.2,33.2,1.23,33.2,128,-78.6,-67.9,-41.5,270,257,220,69,13,181,3.22,94,173,-107.8,-105.8
"271",271,"AJ Dillon","RB","GB",64,28.2,3.28,35.4,119,-79.8,-65.8,-50.1,271,251,238,70,13,162,2.92,93,173,-109,-107
"272",272,"Tyrone Tracy","RB","NYG",60.7,15.7,0.277,38.3,87.8,-83.1,-62.9,-81.8,272,250,299,71,13,153,2.48,81,173,-112.3,-110.3
"273",273,"Dameon Pierce","RB","HOU",60.4,8.68,0.172,50.7,74.1,-83.4,-50.5,-95.5,273,228,328,72,13,180,2.97,17,173,-112.6,-110.6
"274",274,"Gardner Minshew","QB","LVR",185,41.2,3.37,138,257,-128,-143,-90.6,274,561,315,30,9,165,4.68,86,316,-131,-9999
"275",275,"J.J. McCarthy","QB","MIN",181,77.2,4.25,34.2,267,-132,-247,-80,275,574,296,31,9,152,12.1,99,316,-135,-9999
"276",276,"Drake Maye","QB","NE",177,72.5,60.3,87.3,262,-136,-194,-85.3,276,568,307,32,10,124,17.3,94,316,-139,-9999
"277",277,"Sam Darnold","QB","MIN",117,46.7,1.58,57.8,180,-196,-224,-167,277,569,532,33,10,164,4.27,91,316,-199,-9999
"278",278,"Justin Fields","QB","PIT",115,54.6,9.17,54.4,189,-198,-227,-158,278,570,495,34,11,143,6.59,89,316,-201,-9999
"279",279,"Jacoby Brissett","QB","NE",106,57.6,19.5,45.2,186,-207,-236,-161,279,572,501,35,12,166,3.32,97,316,-210,-9999
"280",280,"Aidan O'Connell","QB","LVR",86.6,37.8,22.5,42.5,130,-226,-239,-217,280,573,574,36,13,178,2.5,83,316,-229.4,-9999
