"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"146","Aaron Jones","RB","MIN",202,13.3,5.34,176,212,53.8,62.5,26.4,146,40,54,23,7,68.1,13.7,6,220,-18,-19
"147","Dalton Kincaid","TE","BUF",144,7.25,1.19,136,156,-2.33,4.29,-18.9,147,106,317,15,6,134,2.68,9,163,-19,-77
"148","Blake Grupe","K","NO",127,11.1,2.71,112,147,-20.4,-25.9,-10.7,147,373,223,25,3,170,0,42,146,-19,-9999
"149","Jameson Williams","WR","DET",216,13.5,6.11,203,240,15.9,30.8,0.157,149,63,128,29,5,61.8,11.1,18,236,-20,-5
"150","Kyle Pitts","TE","ATL",143,9.36,0.00779,132,157,-3.53,0,-18.7,149,130,314,16,6,135,4.35,20,163,-20,-78
"151","Zach Ertz","TE","WAS",143,16.6,2.61,124,171,-3.53,-7.34,-4.05,149,186,161,16,7,145,2.43,54,163,-20,-78
"152","Hunter Henry","TE","NE",141,21.2,2.79,99,160,-6.14,-32.5,-15.8,152,427,278,18,7,149,2.25,74,163,-22,-80
"153","Jason Sanders","K","MIA",124,19.9,2.8,101,155,-23.1,-37.4,-1.85,152,456,142,26,4,149,1.82,99,146,-22,-9999
"154","RJ Harvey","RB","DEN",197,22.2,4.74,172,230,48.4,58.3,44.2,154,43,43,24,7,62.8,15.1,41,220,-23,-24
"155","Sam Darnold","QB","SEA",242,14.7,3.4,218,260,-40.3,-46,-48.2,154,488,515,26,7,152,3.99,23,265,-23,-9999
"156","Jonnu Smith","TE","PIT",138,23.8,4.43,101,175,-8.93,-30.4,0,156,414,130,19,7,143,1.84,86,163,-25,-83
"157","Andres Borregales","K","NE",121,12.6,0.506,101,137,-26,-36.8,-20.6,156,453,337,27,4,170,0,52,146,-25,-9999
"158","Travis Hunter","WR","JAC",210,26.3,1.39,183,252,9.77,10.9,12.9,158,91,74,30,5,77.3,8.89,74,236,-26,-11
"159","Travis Hunter","WR","JAC",210,26.3,1.39,183,252,9.77,10.9,12.9,158,91,74,30,5,77.3,8.89,93,236,-26,-11
"160","Joey Slye","K","TEN",120,5.7,1.11,111,129,-26.5,-27,-28.7,158,379,418,28,4,170,0,1,146,-26,-9999
"161","George Pickens","WR","DAL",209,13,2.24,188,226,8.37,15.8,-13.8,161,78,254,32,6,67.6,11.6,25,236,-27,-12
"162","Graham Gano","K","NYG",119,19.7,0.465,83.9,143,-27.6,-54,-13.9,161,508,255,29,4,170,0,94,146,-27,-9999
"163","Nick Folk","K","NYJ",119,16.7,3.49,92.6,136,-28,-45.3,-21.8,161,484,347,29,4,170,0.1,90,146,-27,-9999
"164","Cam Ward","QB","TEN",238,21.8,0.352,202,264,-43.7,-61.4,-43.8,161,515,501,27,7,150,4.99,57,265,-27,-9999
"165","Aaron Rodgers","QB","PIT",238,22.9,45.3,219,280,-44.1,-45,-28,161,480,412,27,8,149,8.01,34,265,-27,-9999
"166","David Montgomery","RB","DET",192,13.6,0.779,173,211,43.7,59.5,24.7,166,42,59,25,7,61.3,13.3,4,220,-28,-29
"167","Tyrone Tracy","RB","NYG",191,22,8.39,159,225,42.9,45.9,38.8,167,53,46,26,7,83.2,8.3,30,220,-29,-30
"168","Jaylen Waddle","WR","MIA",207,20.3,2.53,172,229,6.13,0,-10.8,167,130,224,33,6,79.7,11,51,236,-29,-14
"169","Chigoziem Okonkwo","TE","TEN",133,11.9,0.896,117,152,-13.4,-15,-23.4,169,254,370,20,7,172,2.13,40,163,-30,-88
"170","Brenton Strange","TE","JAC",133,14.4,4.07,117,154,-14.3,-14.6,-20.9,169,251,339,20,7,170,2.69,43,163,-30,-88
"171","Ryan Fitzgerald","K","CAR",115,21.6,11.9,81.1,136,-31.5,-56.8,-21.2,171,510,344,31,5,170,0,97,146,-31,-9999
"172","Deebo Samuel","WR","WAS",204,19.6,0.443,184,238,3.6,12.3,-1.4,172,85,140,34,6,90.1,7.9,47,236,-32,-17
"173","Chris Olave","WR","NO",204,24.1,0.462,171,245,3.16,-1.16,5.49,172,138,97,34,6,89.8,7.19,56,236,-32,-17
"174","Rome Odunze","WR","CHI",203,20.3,2.69,178,231,2.69,5.96,-8.5,174,103,203,36,6,87.1,7.12,54,236,-33,-18
"175","Jakobi Meyers","WR","LVR",201,12.4,3.21,181,217,0,9.05,-23.1,175,98,369,37,6,99,6,11,236,-35,-20
"176","Cade Otton","TE","TB",128,15.7,1.71,109,152,-18.3,-22.7,-22.9,175,348,363,22,7,160,1.65,51,163,-35,-93
"177","Dalton Schultz","TE","HOU",127,18.2,0.462,96.8,147,-20,-34.7,-28,177,439,411,23,7,177,2.42,69,163,-36,-94
"178","Isiah Pacheco","RB","KC",183,24.6,6.44,143,212,34.5,29.4,26.1,178,64,56,27,8,64.3,14.4,43,220,-37,-38
"179","Mike Gesicki","TE","CIN",126,10.4,1.15,115,140,-20.5,-16.8,-35,178,275,460,24,8,156,2.02,26,163,-37,-95
"180","Pat Freiermuth","TE","PIT",125,16.3,0.0391,99,149,-21.6,-32.5,-26,180,428,398,25,8,163,2.47,60,163,-38,-96
"181","Darren Waller","TE","MIA",125,15.9,3.44,95.1,141,-21.7,-36.4,-34.8,180,451,458,25,8,159,2.36,71,163,-38,-96
"182","Stefon Diggs","WR","NE",197,14.2,2.64,181,222,-3.21,9.06,-17.5,182,97,299,38,6,96.7,8.36,32,236,-39,-24
"183","Michael Pittman","WR","IND",195,15,0.186,170,212,-5.85,-2.25,-27.9,183,145,410,39,6,115,5.26,35,236,-41,-26
"184","Juwan Johnson","TE","NO",122,18.8,0.746,85.9,142,-25.1,-45.6,-33.3,183,486,446,27,8,170,1.45,77,163,-41,-99
"185","Cooper Kupp","WR","SEA",194,28.2,1.5,168,241,-6.04,-4.28,1.29,185,158,117,40,6,104,7.32,64,236,-42,-27
"186","Isaiah Likely","TE","BAL",121,19.1,1.29,95.9,146,-25.9,-35.6,-29.1,185,447,422,28,8,158,3.1,66,163,-42,-100
"187","Andre Szmyt","K","CLE",104,18.9,26.8,83,127,-43.4,-54.9,-30.5,185,509,430,32,6,170,0,77,146,-42,-9999
"188","Ricky Pearsall","WR","SF",193,28,0.988,153,241,-7.54,-18.7,1.09,188,295,120,41,6,88.5,8.59,72,236,-43,-28
"189","Mason Taylor","TE","NYJ",120,14.1,2.66,98.4,143,-27.2,-33.1,-32.5,188,431,443,29,8,162,2.01,57,163,-43,-101
"190","Jaylen Warren","RB","PIT",176,20.6,8.66,149,204,28.1,36.2,17.5,190,59,66,28,8,92.6,6.69,29,220,-44,-45
"191","Jauan Jennings","WR","SF",192,20.6,1.5,163,226,-8.53,-8.54,-13.3,190,196,249,42,6,115,4.85,42,236,-44,-29
"192","Matthew Golden","WR","GB",191,27.8,6.57,144,233,-10,-28.4,-7.02,192,393,192,43,7,95.7,8.06,76,236,-45,-30
"193","Tyler Higbee","TE","LAR",117,21.2,5.23,92.4,153,-29.8,-39.1,-22.3,193,463,356,30,8,183,1.42,89,163,-46,-104
"194","Theo Johnson","TE","NYG",112,26.9,0.632,58.2,141,-35.1,-73.3,-34.7,194,538,457,31,8,184,1.02,91,163,-51,-109
"195","Austin Ekeler","RB","WAS",168,16.2,2.9,137,186,19.4,23.6,0,195,67,130,29,8,109,6.94,49,220,-52,-53
"196","Jordan Addison","WR","MIN",184,27.5,0.881,156,240,-16.6,-16.5,0,195,271,130,44,7,104,4.25,62,236,-52,-37
"197","Robbie Ouzts","TE","SEA",111,,8.02,,,-35.7,,,195,,,32,9,,,99,163,-52,-110
"198","Khalil Shakir","WR","BUF",183,21.1,2.51,154,219,-17.5,-18.4,-21.1,198,292,343,45,7,115,4.28,44,236,-53,-38
