"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",352,20.9,44.5,329,385,193,218,186,1,1,1,1,"1",1.38,68.8,1
"2","Breece Hall","RB","NYJ",307,32.1,7.94,271,354,148,159,155,2,2,3,2,"1",5.26,54.9,46
"3","Bijan Robinson","RB","ATL",299,28.5,25.5,262,334,140,150,135,3,3,6,3,"2",5.49,55.7,30
"4","CeeDee Lamb","WR","DAL",336,34.8,2.95,285,399,131,101,163,4,13,2,1,"1",4.3,56.4,63
"5","Tyreek Hill","WR","MIA",333,24,21.1,300,379,129,117,144,5,6,4,2,"2",3.63,60.9,31
"6","Saquon Barkley","RB","PHI",274,37.4,6.69,231,327,115,120,128,6,5,8,4,"3",10.8,49.2,69
"7","Jonathan Taylor","RB","IND",267,20.7,6.72,240,297,108,129,97.7,7,4,12,5,"3",10.5,47.9,11
"8","Amon-Ra St. Brown","WR","DET",312,32,5.26,279,374,107,96,139,8,16,5,3,"2",7.86,52.6,58
"9","Ja'Marr Chase","WR","CIN",307,29.4,0.923,288,367,102,105,132,9,11,7,4,"2",7.6,52.5,52
"10","Jahmyr Gibbs","RB","DET",260,36,3,225,326,101,114,127,10,7,10,6,"3",15.1,41.1,59
"11","Justin Jefferson","WR","MIN",306,29.1,21.5,282,363,101,98.7,127,11,14,9,5,"3",8.54,53.3,51
"12","Kyren Williams","RB","LAR",257,25.6,9.95,224,302,98.5,113,104,12,8,11,7,"4",16.6,39.5,49
"13","Travis Etienne","RB","JAC",247,21.9,4.81,222,284,88.5,110,84.6,13,9,17,8,"4",20.4,35,25
"14","Alvin Kamara","RB","NO",243,24,0.612,208,285,83.7,96.5,85.8,14,15,16,9,"4",47.4,23.9,54
"15","Rachaad White","RB","TB",242,17.6,1.17,218,267,83.1,107,68.6,15,10,25,10,"4",33.3,24.8,13
"16","Isiah Pacheco","RB","KC",241,16.8,3.53,214,264,81.9,103,64.7,16,12,26,11,"4",21,33.8,15
"17","Puka Nacua","WR","LAR",284,21.6,1.13,261,318,79.8,77.3,82.4,17,23,19,6,"3",16.4,39.5,32
