"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Tyrel Dodson","LB","MIA",82.9,10.6,1.48,76.2,90.7,-6.29,-11.1,-0.225,189,216,136,21,"4",NA,6.34,53
"Cameron Heyward","DL","PIT",36.6,0.849,0.261,36,37.2,-6.32,-4.05,-8.69,190,153,204,27,"4",NA,4.44,12
"Micah Parsons","DL","GB",36.3,5.66,0.385,32.1,39.9,-6.58,-7.93,-5.95,191,188,183,28,"5",NA,20.4,27
"Micah Parsons","DL","GB",36.3,5.66,0.385,32.1,39.9,-6.58,-7.93,-5.95,191,188,183,28,"5",NA,20.4,68
"Tyrique Stevenson","DB","CHI",82.8,3.32,0.466,80.6,85.2,-6.78,-3.61,-13,192,150,248,23,"4",NA,NA,77
"Bills","DST","BUF",88.5,9.65,0.068,69,94.3,-6.83,-17.3,-12.2,193,285,239,7,"6",131,1.32,39
"Brandon McManus","K","GB",140,11.3,0.511,125,155,-6.87,-13.3,-1.99,194,235,144,15,"2",164,1.34,84
"Packers","DST","GB",88.4,11.7,2.84,70.5,102,-6.9,-15.8,-4.7,195,261,170,8,"7",147,1.51,77
"D.J. Wonnum","DL","CAR",35.9,7.5,0.0592,31.1,41.4,-6.96,-8.95,-4.45,196,201,165,29,"5",NA,4.99,73
"Kobie Turner","DL","LAR",35.9,4.81,0.0737,32.3,38.9,-7.02,-7.75,-6.94,197,187,191,30,"5",NA,8.02,24
"Jared Verse","DL","LAR",35.8,3.39,0.469,33.3,37.9,-7.09,-6.78,-7.92,198,180,198,31,"5",NA,NA,15
"Jared Verse","DL","LAR",35.8,3.39,0.469,33.3,37.9,-7.09,-6.78,-7.92,198,180,198,31,"5",NA,NA,79
"Xavier McKinney","DB","GB",82.3,11.7,0.309,73.7,89.8,-7.25,-10.6,-8.42,199,213,202,24,"4",NA,8.14,37
"Daniel Carlson","K","LVR",140,9.42,1.08,122,147,-7.38,-15.6,-10.4,200,260,220,16,"2",173,1.49,71
"Ricky Pearsall","WR","SF",193,28,0.988,153,241,-7.54,-18.7,1.09,201,295,120,40,"6",88.5,8.59,72
"YaYa Diaby","DL","TB",35.3,6.58,0.808,31.1,40.1,-7.56,-8.97,-5.73,203,202,182,32,"5",NA,3.38,47
"YaYa Diaby","DL","TB",35.3,6.58,0.808,31.1,40.1,-7.56,-8.97,-5.73,203,202,182,32,"5",NA,3.38,87
"DeShon Elliott","DB","PIT",82,7.64,0.602,77.1,87.6,-7.56,-7.15,-10.6,202,183,222,25,"4",NA,9.46,33
"Azeez Al-Shaair","LB","HOU",81.5,0.707,2.63,81,82,-7.78,-6.26,-8.98,204,177,208,22,"4",NA,21.1,17
"Jaylon Jones","DB","IND",81.4,NA,0.272,NA,NA,-8.16,NA,NA,205,NA,NA,26,"4",NA,4.34,NA
"Kyle Van Noy","DL","BAL",34.5,NA,0.11,NA,NA,-8.37,NA,NA,206,NA,NA,33,"5",NA,3.26,67
"Kyle Van Noy","DL","BAL",34.5,NA,0.11,NA,NA,-8.37,NA,NA,206,NA,NA,33,"5",NA,3.26,99
"Mike Sainristil","DB","WAS",81.1,4.38,0.749,77.9,83.9,-8.43,-6.36,-14.3,207,178,262,27,"4",NA,NA,46
"Will Reichard","K","MIN",138,8.92,1.81,129,152,-8.46,-8.86,-5.42,208,200,177,17,"2",166,1.78,74
"AShawn Robinson","DL","CAR",34.4,2.12,0.61,33,35.9,-8.48,-7.03,-9.92,209,182,211,34,"5",NA,2.76,13
"Jauan Jennings","WR","SF",192,20.6,1.5,163,226,-8.53,-8.54,-13.3,210,196,249,41,"6",115,4.85,42
"Jonnu Smith","TE","PIT",138,23.8,4.43,101,175,-8.93,-30.4,0,211,414,130,19,"7",143,1.84,86
"Josh Sweat","DL","ARI",33.8,4.24,0.019,31.1,36.9,-9.09,-9,-8.97,212,203,207,35,"5",NA,5.35,29
"Josh Sweat","DL","ARI",33.8,4.24,0.019,31.1,36.9,-9.09,-9,-8.97,212,203,207,35,"5",NA,5.35,71
"Zach Allen","DL","DEN",33.8,2.69,0.341,32,35.7,-9.11,-8.03,-10.1,213,190,217,36,"5",NA,5.86,9
"Kenny Moore","DB","IND",80.4,4.24,0.221,77.7,83.5,-9.18,-6.6,-14.8,214,179,265,28,"4",NA,NA,26
"Xavier Woods","DB","TEN",80.2,1.77,1.41,79,81.5,-9.4,-5.24,-16.8,215,170,287,29,"4",NA,NA,60
"Demarcus Lawrence","DL","SEA",33.4,8.27,0.106,28.1,39.5,-9.45,-11.9,-6.37,216,220,187,37,"5",NA,2.64,82
"Tuli Tuipulotu","DL","LAC",33.3,4.1,0.414,30.3,35.9,-9.56,-9.76,-9.93,217,207,212,38,"5",NA,NA,33
"Tuli Tuipulotu","DL","LAC",33.3,4.1,0.414,30.3,35.9,-9.56,-9.76,-9.93,217,207,212,38,"5",NA,NA,50
"Steelers","DST","PIT",85.6,6.04,0.338,77.7,93.7,-9.74,-8.56,-12.8,218,197,244,9,"7",124,2.13,10
"Braden Fiske","DL","LAR",32.9,NA,0.0874,NA,NA,-9.97,NA,NA,219,NA,NA,39,"5",NA,NA,63
"Matthew Golden","WR","GB",191,27.8,6.57,144,233,-10,-28.4,-7.02,220,393,192,42,"7",95.7,8.06,76
"Cowboys","DST","DAL",85.3,12,0.223,73.2,102,-10.1,-13.1,-4.57,222,232,168,10,"8",156,0.65,97
"Travon Walker","DL","JAC",32.8,1.2,0.162,31.9,33.6,-10.1,-8.14,-12.3,221,193,240,40,"5",NA,7.32,1
"Travon Walker","DL","JAC",32.8,1.2,0.162,31.9,33.6,-10.1,-8.14,-12.3,221,193,240,40,"5",NA,7.32,45
"George Karlaftis","DL","KC",32.7,8.63,0.0569,27.1,39,-10.2,-12.9,-6.88,223,228,189,41,"5",NA,7.01,65
"Joshua Karty","K","LAR",137,6.78,0.885,130,146,-10.3,-8.16,-11.8,224,195,235,18,"2",164,1.49,16
"49ers","DST","SF",85,10,0.0176,67.8,94.4,-10.3,-18.5,-12,226,293,238,11,"8",147,0.893,87
"Seahawks","DST","SEA",85,5.43,0.808,78.3,92.1,-10.3,-8.05,-14.4,227,192,263,12,"8",156,1.15,13
"Cameron Jordan","DL","NO",32.6,3.96,0.394,30.1,35.5,-10.3,-10,-10.4,225,208,218,42,"5",NA,NA,78
"Tremaine Edmunds","LB","CHI",78.8,1.27,0.474,78,79.8,-10.4,-9.25,-11.2,228,206,229,23,"4",NA,6.67,32
"J.J. McCarthy","QB","MIN",272,18.6,3.31,251,303,-10.5,-13.1,-5.47,229,231,178,16,"6",129,3.23,69
"Keion White","DL","NE",32.2,NA,0.3,NA,NA,-10.7,NA,NA,230,NA,NA,43,"6",NA,NA,17
"Keion White","DL","NE",32.2,NA,0.3,NA,NA,-10.7,NA,NA,230,NA,NA,43,"6",NA,NA,97
"Devon Witherspoon","DB","SEA",78.8,5.73,0.453,75.1,83,-10.8,-9.18,-15.3,231,205,269,30,"4",NA,6.94,19
"Cody Barton","LB","TEN",78.4,2.69,1.08,76.6,80.3,-10.9,-10.6,-10.6,232,214,221,24,"4",NA,8.33,31
"Byron Young","DL","LAR",31.9,NA,0.529,NA,NA,-11,NA,NA,233,NA,NA,44,"6",NA,NA,NA
"Lions","DST","DET",84.2,11,0.114,65.3,94,-11.1,-21,-12.5,234,320,241,13,"9",153,1.25,55
"Cam Little","K","JAC",136,10.7,0.733,121,155,-11.2,-17.2,-2.23,235,283,145,19,"2",157,2.17,68
"Chiefs","DST","KC",84.1,8.03,0.166,72.4,90.9,-11.2,-13.9,-15.6,236,240,275,14,"9",158,0.685,32
"Jaquan Brisker","DB","CHI",78.3,9.62,0.329,72.1,85.4,-11.3,-12.1,-12.9,237,224,246,31,"4",NA,6.79,30
"Commanders","DST","WAS",83.9,12.4,0.366,64.9,96.5,-11.4,-21.4,-9.96,238,327,213,15,"9",161,0.75,74
"Kwity Paye","DL","IND",31.4,0.566,0.983,31,31.8,-11.5,-9.06,-14.1,239,204,259,45,"6",NA,NA,5
"Alontae Taylor","DB","NO",78,6.15,0.427,73.5,81.9,-11.6,-10.8,-16.3,240,215,285,32,"4",NA,4.97,54
"Giants","DST","NYG",83.6,14.4,0.291,66.4,102,-11.8,-19.9,-4.5,241,307,167,16,"9",163,0.2,99
"Jason Myers","K","SEA",135,3.93,0.292,130,140,-11.9,-8.15,-17.5,242,194,300,20,"2",165,0.1,6
"Patrick Queen","LB","PIT",77.3,0.424,0.263,77,77.6,-12,-10.3,-13.4,243,211,250,25,"4",NA,13.2,22
"Cam Taylor-Britt","DB","CIN",77.5,2.05,2.28,76.2,79,-12,-8.03,-19.2,244,191,320,33,"5",NA,NA,61
"Chargers","DST","LAC",83.3,9.13,1.7,72.3,95.1,-12.1,-14,-11.4,245,241,230,17,"10",163,0.5,68
"Jerome Ford","RB","CLE",136,28.6,1.59,115,195,-12.2,1.6,9.11,246,120,87,37,"10",137,3.75,81
"Jake Moody","K","SF",135,8.63,2.45,126,149,-12.2,-12.3,-8.19,247,226,201,21,"2",167,1.68,48
"Edgerrin Cooper","LB","GB",77,13.7,1.51,66.9,85.8,-12.2,-20.3,-5.17,248,315,176,26,"5",NA,NA,56
"Quinnen Williams","DL","NYJ",30.4,5.52,0.112,26.3,33.9,-12.5,-13.7,-12,249,237,236,46,"6",NA,NA,51
"Zach Sieler","DL","MIA",30.3,7.21,0.221,25,34.9,-12.6,-15.1,-11,250,258,227,47,"6",NA,NA,46
"Adam Butler","DL","LVR",30.1,2.97,0.0296,27.9,32,-12.8,-12.2,-13.9,251,225,256,48,"6",NA,NA,86
"Jonathon Cooper","DL","DEN",30,9.12,0.341,23.3,35.9,-12.8,-16.7,-10,252,273,214,49,"6",NA,NA,77
"Jonathon Cooper","DL","DEN",30,9.12,0.341,23.3,35.9,-12.8,-16.7,-10,252,273,214,49,"6",NA,NA,85
"Christian Barmore","DL","NE",29.7,3.54,0.27,27.1,31.9,-13.2,-13,-13.9,253,229,257,50,"6",NA,NA,53
"Chigoziem Okonkwo","TE","TEN",133,11.9,0.896,117,152,-13.4,-15,-23.4,254,254,370,20,"7",172,2.13,40
"Jonathan Allen","DL","MIN",29.4,7,0.0167,24.3,33.9,-13.5,-15.8,-12,255,262,237,51,"6",NA,NA,60
"Grover Stewart","DL","IND",29.4,0.919,0.131,28.7,30,-13.5,-11.3,-15.9,256,218,280,52,"6",NA,NA,37
"Zaven Collins","DL","ARI",29.3,4.17,0.367,26.2,31.9,-13.6,-13.9,-13.9,257,239,258,53,"6",NA,NA,94
"Devin Lloyd","LB","JAC",75.5,14.5,1.44,64.9,84.8,-13.7,-22.4,-6.18,258,344,185,27,"5",NA,5.47,73
"C.J. Stroud","QB","HOU",268,15,1.35,245,287,-13.8,-19.2,-21.1,262,304,342,17,"6",126,3.84,54
"Rachaad White","RB","TB",135,18.3,9.02,107,156,-13.8,-5.96,-29.5,260,174,426,38,"10",137,2.77,51
"Cardinals","DST","ARI",81.6,12.1,0.0205,61.8,93.6,-13.8,-24.5,-12.9,259,363,245,18,"10",161,0.877,94
"Bengals","DST","CIN",81.6,6.17,0.696,72.5,89.4,-13.8,-13.8,-17.1,261,238,295,19,"11",158,0,29
"Davon Hamilton","DL","JAC",28.9,NA,0.0663,NA,NA,-14,NA,NA,263,NA,NA,54,"6",NA,NA,NA
"B.J. Hill","DL","CIN",28.8,1.27,0.0926,28,29.8,-14,-12,-16.1,264,221,283,55,"6",NA,NA,38
"Malcolm Koonce","DL","LVR",28.7,1.13,0.0411,28,29.6,-14.1,-12,-16.3,265,222,284,56,"6",NA,NA,26
"CJ West","DL","SF",28.7,NA,0.17,NA,NA,-14.2,NA,NA,266,NA,NA,57,"6",NA,NA,NA
"Brenton Strange","TE","JAC",133,14.4,4.07,117,154,-14.3,-14.6,-20.9,267,251,339,21,"7",170,2.69,43
"Da'Ron Payne","DL","WAS",28.5,10.2,0.154,21,35,-14.3,-19,-10.8,269,299,225,58,"6",NA,NA,92
"Will Harris","DB","WAS",75.3,32.5,0.818,54.5,99.1,-14.3,-29.8,0.855,268,411,125,34,"5",NA,4.8,98
"Browns","DST","CLE",80.9,10.8,0.689,64.2,91.6,-14.5,-22.1,-14.9,270,338,266,20,"12",167,0,84
"Dexter Lawrence","DL","NYG",28.4,10.1,0.187,20.9,34.8,-14.5,-19.1,-11,271,303,228,59,"6",NA,NA,88
"Cairo Santos","K","CHI",132,6,1.12,125,142,-14.6,-13.3,-15.6,272,234,274,22,"3",173,0.5,26
"Marshawn Kneeland","DL","DAL",28.2,15.6,0.0898,18.2,39.6,-14.7,-21.8,-6.25,273,331,186,60,"6",NA,NA,99
"Drake Maye","QB","NE",267,18.3,1.81,238,283,-15.1,-25.7,-24.8,277,371,386,18,"6",121,4.26,66
"Geno Stone","DB","CIN",74.4,1.77,0.981,73.1,75.6,-15.1,-11.1,-22.7,276,217,361,35,"5",NA,NA,65
"Raiders","DST","LVR",80.2,9.78,0.219,66.2,92,-15.2,-20.1,-14.5,278,312,264,21,"12",170,0,35
"Jack Campbell","LB","DET",74.1,1.63,0.223,73,75.3,-15.2,-14.2,-15.7,279,250,276,28,"5",NA,NA,24
"Buccaneers","DST","TB",80,9.58,0.152,64.1,92.2,-15.4,-22.2,-14.3,281,341,261,22,"12",156,0.2,52
"Carson Schwesinger","LB","CLE",73.8,1.77,0.181,72.5,75,-15.4,-14.7,-16,283,253,282,29,"5",NA,NA,39
"Colts","DST","IND",79.8,3.59,0.0219,74.2,83.5,-15.5,-12.1,-23,284,223,366,23,"12",166,0.5,16
"Bears","DST","CHI",79.8,8.47,0.43,68,89.5,-15.6,-18.3,-17,285,291,291,24,"13",151,0.65,45
"Terrel Bernard","LB","BUF",73.7,20.4,0.481,58.7,86.7,-15.6,-28.6,-4.27,286,394,162,30,"5",NA,9.58,88
"Chad Ryland","K","ARI",131,11.7,2.28,116,150,-15.8,-22.2,-7.25,287,340,196,23,"3",171,0,87
"Falcons","DST","ATL",79.4,8.89,0.394,68.3,92.9,-16,-18,-13.6,291,289,252,25,"13",170,0,42
"Demario Davis","LB","NO",73.2,11,1.35,66.2,81.2,-16.1,-21.1,-9.73,293,323,210,31,"5",NA,4.68,59
"Justin Reid","DB","NO",73.5,6.93,0.615,68.4,77.9,-16.1,-15.9,-20.4,294,263,334,36,"5",NA,NA,35
"Jets","DST","NYJ",79,8.77,1.7,66.6,89.3,-16.4,-19.7,-17.2,296,305,296,26,"14",172,0.3,61
"Jordan Addison","WR","MIN",184,27.5,0.881,156,240,-16.6,-16.5,0,300,271,130,43,"7",104,4.25,62
"Taron Johnson","DB","BUF",72.8,13.4,0.104,63,81.4,-16.7,-21.2,-16.8,303,326,288,37,"5",NA,NA,74
"Josh Metellus","DB","MIN",72.7,34.7,0.424,50.5,98.2,-16.8,-33.7,0,306,433,130,38,"5",NA,5.78,88
"Jordan Love","QB","GB",265,13.7,0.61,244,286,-17,-20,-22.4,308,308,358,19,"6",124,4.6,40
"Tykee Smith","DB","TB",72.3,11.2,0.188,65.2,80.5,-17.2,-19.1,-17.7,311,302,305,39,"5",NA,NA,68
"Blake Cashman","LB","MIN",71.8,1.27,1.31,71,72.8,-17.4,-16.2,-18.2,315,268,312,32,"5",NA,16.6,12
"Michael Jackson","DB","CAR",72.1,3.25,0.15,70,74.5,-17.4,-14.2,-23.7,316,248,372,40,"5",NA,NA,56
"Khalil Shakir","WR","BUF",183,21.1,2.51,154,219,-17.5,-18.4,-21.1,317,292,343,44,"7",115,4.28,44
"Trevor Lawrence","QB","JAC",265,15.5,10.4,241,286,-17.6,-22.5,-22.3,319,345,354,20,"6",135,3.59,37
"Kamari Lassiter","DB","HOU",72,1.56,0.28,70.8,73,-17.6,-13.4,-25.3,320,236,391,41,"5",NA,NA,7
"Marlon Humphrey","DB","BAL",71.7,2.9,0.147,69.6,73.6,-17.9,-14.7,-24.7,322,252,385,42,"5",NA,NA,40
"Spencer Shrader","K","IND",129,19.2,2.4,100,153,-18,-37.7,-4.49,324,459,166,24,"3",169,0,81
"Quentin Lake","DB","LAR",71.6,6.79,0.0608,66.6,75.9,-18,-17.7,-22.4,323,286,357,43,"5",NA,NA,53
"Dolphins","DST","MIA",77.3,12.7,0.498,62,94,-18.1,-24.3,-12.5,326,360,242,27,"14",170,0,81
"Derek Stingley Jr.","DB","HOU",71.5,6.86,0.0296,67.1,76.5,-18.1,-17.2,-21.7,325,282,346,44,"5",NA,NA,84
"Zyon McCollum","DB","TB",71.5,0.707,0.084,71,72,-18.1,-13.3,-26.3,327,233,401,45,"5",NA,NA,58
"Evan Williams","DB","GB",71.4,11,0.122,64.4,79.4,-18.2,-19.9,-18.8,328,306,315,46,"5",NA,1.85,72
"Cade Otton","TE","TB",128,15.7,1.71,109,152,-18.3,-22.7,-22.9,331,348,363,22,"7",160,1.65,51
"Ji'Ayir Brown","DB","SF",71.3,24.8,0.308,55.4,89.5,-18.3,-28.9,-8.76,330,399,205,47,"5",NA,NA,91
"Saints","DST","NO",76.8,14.1,2.12,55.6,92.7,-18.6,-30.7,-13.8,334,416,253,28,"15",170,0,71
"Talanoa Hufanga","DB","DEN",70.9,4.81,0.00198,67.9,74.5,-18.6,-16.4,-23.8,336,270,373,48,"5",NA,3.82,25
"Bryan Cook","DB","KC",70.9,10.6,0.341,64.2,78.7,-18.6,-20.1,-19.5,337,313,323,49,"6",NA,NA,70
"Nate Landman","LB","LAR",70.5,5.3,0.638,66.6,73.9,-18.7,-20.6,-17,338,319,293,33,"6",NA,5.83,71
"Kyle Dugger","DB","NE",70.6,16.2,0.368,60.2,82.5,-19,-24,-15.7,344,357,277,50,"6",NA,5.62,93
"Eric Murray","DB","JAC",70.2,23.3,0.0637,55.3,87.3,-19.3,-28.9,-10.9,348,400,226,51,"6",NA,3.94,95
"Quay Walker","LB","GB",69.9,1.7,0.294,68.6,71,-19.4,-18.6,-20,349,294,329,34,"6",NA,6.02,8
"Tyler Nubin","DB","NYG",70.2,4.31,0.0508,67,72.9,-19.4,-17.3,-25.3,350,284,392,52,"6",NA,6.58,14
"Jalen Pitre","DB","HOU",70.1,19.7,0.0238,55.7,82.7,-19.4,-28.6,-15.5,351,395,272,53,"6",NA,NA,75
"Kamren Kinchens","DB","LAR",70.1,NA,0.1,NA,NA,-19.5,NA,NA,352,NA,NA,54,"6",NA,NA,32
"Ivan Pace","LB","MIN",69.6,10.7,2.39,62.8,77.4,-19.6,-24.5,-13.5,356,364,251,35,"6",NA,5.81,85
"Ja'Quan McMillian","DB","DEN",70,NA,0.295,NA,NA,-19.6,NA,NA,354,NA,NA,55,"6",NA,NA,NA
"Chauncey Gardner-Johnson","DB","HOU",69.7,1.06,0.156,68.9,70.4,-19.9,-15.3,-27.9,357,259,409,56,"6",NA,NA,79
"Rashee Rice","WR","KC",181,35.3,0.403,140,244,-20,-32,3.95,360,424,105,45,"7",77.6,9.41,89
"Dalton Schultz","TE","HOU",127,18.2,0.462,96.8,147,-20,-34.7,-28,362,439,411,23,"7",177,2.42,69
"Jalen Thompson","DB","ARI",69.5,11.5,0.0759,62.2,78,-20,-22.1,-20.2,361,336,333,57,"6",NA,NA,44
"Minkah Fitzpatrick","DB","MIA",69.5,5.3,1.17,66.1,73.4,-20.1,-18.2,-24.9,363,290,387,58,"6",NA,7.3,51
"Josh Downs","WR","IND",180,20.6,0.171,161,215,-20.4,-11.4,-24.4,367,219,380,46,"7",133,2.62,38
"Blake Grupe","K","NO",127,11.1,2.71,112,147,-20.4,-25.9,-10.7,368,373,223,25,"3",170,0,42
"Mike Gesicki","TE","CIN",126,10.4,1.15,115,140,-20.5,-16.8,-35,369,275,460,24,"8",156,2.02,26
"Emeka Egbuka","WR","TB",180,23.1,0.631,158,223,-20.6,-14.2,-16.4,370,247,286,47,"7",91.7,11.1,68
"Jaguars","DST","JAC",74.6,13.3,0.869,51.7,89.2,-20.7,-34.6,-17.3,372,438,297,29,"16",170,0,65
"Chris Godwin","WR","TB",179,33.4,4.01,153,246,-21.2,-19,6.04,376,296,96,48,"7",112,5.38,83
"Andrew Wingard","DB","JAC",68.3,NA,0.212,NA,NA,-21.3,NA,NA,377,NA,NA,59,"6",NA,NA,81
"Kamren Curl","DB","LAR",68.1,15.1,0.0439,57,77.8,-21.5,-27.3,-20.5,379,385,335,60,"6",NA,NA,86
"Pat Freiermuth","TE","PIT",125,16.3,0.0391,99,149,-21.6,-32.5,-26,385,428,398,25,"8",163,2.47,60
"Titans","DST","TEN",73.8,13.1,2.43,56.5,88.5,-21.6,-29.8,-18,384,410,311,30,"17",170,0,48
"Darren Waller","TE","MIA",125,15.9,3.44,95.1,141,-21.7,-36.4,-34.8,386,451,458,26,"8",159,2.36,71
"Cameron McGrone","LB","IND",67.2,NA,0.884,NA,NA,-22,NA,NA,389,NA,NA,36,"6",NA,4.49,3
"Quinshon Judkins","RB","CLE",126,39.8,1.97,80.7,198,-22.8,-32.5,12,397,429,77,39,"10",120,3.83,94
"Frankie Luvu","LB","WAS",66.3,3.54,0.324,64.1,68.9,-22.9,-23.2,-22.1,405,354,352,37,"6",NA,10.6,20
"Jason Sanders","K","MIA",124,19.9,2.8,101,155,-23.1,-37.4,-1.85,409,456,142,26,"4",149,1.82,99
"Christian Rozeboom","LB","CAR",66,3.04,1.92,64,68.2,-23.2,-23.2,-22.7,410,355,362,38,"6",NA,8.62,68
"Patriots","DST","NE",71.3,10.6,2.26,57.3,82.8,-24,-29,-23.7,420,402,371,31,"18",166,0.9,90
"Cam Skattebo","RB","NYG",124,20.5,0.217,101,162,-24.8,-12.3,-23.8,431,227,374,40,"10",118,4.02,54
"Jacory Croskey-Merritt","RB","WAS",123,49.1,1.78,24.3,164,-25,-88.9,-22.3,436,569,355,41,"10",99,10.8,96
"Juwan Johnson","TE","NO",122,18.8,0.746,85.9,142,-25.1,-45.6,-33.3,439,486,446,27,"8",170,1.45,77
"Jayden Reed","WR","GB",175,27.8,2.87,128,220,-25.2,-43.6,-20,442,477,330,49,"7",125,2.51,67
"Payton Wilson","LB","PIT",64.1,9.05,1.46,57.4,69.9,-25.2,-29.8,-21.1,440,412,341,39,"7",NA,NA,83
"Isaiah Likely","TE","BAL",121,19.1,1.29,95.9,146,-25.9,-35.6,-29.1,450,447,422,28,"8",158,3.1,66
"Andres Borregales","K","NE",121,12.6,0.506,101,137,-26,-36.8,-20.6,451,453,337,27,"4",170,0,52
"Panthers","DST","CAR",69.1,11.3,0,57,85.9,-26.3,-29.3,-20.6,453,404,336,32,"18",170,0.1,58
"Joey Slye","K","TEN",120,5.7,1.11,111,129,-26.5,-27,-28.7,456,379,418,28,"4",170,0,1
"Henry To'oTo'o","LB","HOU",62.6,9.76,0.4,55.4,68.9,-26.6,-31.8,-22.1,460,423,353,40,"7",NA,NA,81
"Jordan Mason","RB","MIN",122,19.6,4.63,82.5,139,-26.8,-30.8,-46.7,462,417,511,42,"11",100,7.64,35
"Tyrice Knight","LB","SEA",62.2,16.5,0.101,50.1,72.8,-27,-37.2,-18.2,465,455,313,41,"7",NA,NA,86
"Jack Sanborn","LB","DAL",62.1,27,0.423,42.3,79.4,-27.1,-45,-11.6,468,481,233,42,"7",NA,13.8,95
"Mason Taylor","TE","NYJ",120,14.1,2.66,98.4,143,-27.2,-33.1,-32.5,469,431,443,29,"8",162,2.01,57
"Graham Gano","K","NYG",119,19.7,0.465,83.9,143,-27.6,-54,-13.9,476,508,255,29,"4",170,0,94
"Micah McFadden","LB","NYG",61.7,3.54,1.68,59.1,63.9,-27.6,-28.2,-27,475,390,406,43,"7",NA,2.62,46
"Bryce Young","QB","CAR",254,19.3,2.53,229,281,-28,-35,-26.8,481,441,404,21,"7",155,2.74,43
"Nick Folk","K","NYJ",119,16.7,3.49,92.6,136,-28,-45.3,-21.8,483,484,347,30,"4",170,0.1,90
"Rashid Shaheed","WR","NO",172,11.1,4.63,156,187,-28.1,-16.1,-52.6,487,266,526,50,"7",144,2.64,14
"Nick Martin","LB","SF",60,NA,0.629,NA,NA,-29.2,NA,NA,508,NA,NA,44,"7",NA,NA,66
"Tyler Higbee","TE","LAR",117,21.2,5.23,92.4,153,-29.8,-39.1,-22.3,518,463,356,30,"8",183,1.42,89
"Pete Werner","LB","NO",59.4,0.566,0.891,59,59.8,-29.9,-28.3,-31.2,519,392,436,45,"7",NA,NA,63
"Geno Smith","QB","LVR",252,14.6,2.81,232,269,-30.5,-31.8,-39.2,525,422,488,22,"7",151,4.21,20
"Elandon Roberts","LB","LVR",58.5,5.37,0.322,54.5,61.9,-30.8,-32.7,-29,530,430,421,46,"7",NA,7.61,69
"Mack Wilson","LB","ARI",58.2,1.77,1.62,57,59.5,-31.1,-30.2,-31.5,535,413,439,47,"8",NA,4.3,54
"Tank Bigsby","RB","JAC",117,23.3,0.563,87.6,155,-31.4,-25.6,-30.5,539,370,431,43,"11",115,3.5,58
"Ryan Fitzgerald","K","CAR",115,21.6,11.9,81.1,136,-31.5,-56.8,-21.2,541,510,344,31,"5",170,0,97
"Najee Harris","RB","LAC",116,23.3,4.34,90.6,151,-31.9,-22.7,-34.6,547,347,455,44,"11",130,4.41,72
"Keon Coleman","WR","BUF",168,18.6,8.21,141,195,-32.7,-30.6,-45.1,557,415,503,51,"8",117,3.27,53
"Dre Greenlaw","LB","DEN",56.5,45,1.13,23.5,85.3,-32.7,-63.8,-5.63,556,521,180,48,"8",NA,NA,98
"Michael Penix Jr.","QB","ATL",249,12.3,0.0903,236,267,-33.3,-28.2,-40.8,565,391,492,23,"7",147,2.44,17
"Tua Tagovailoa","QB","MIA",249,21.1,0.00823,220,277,-33.4,-43.3,-30.6,566,476,434,24,"7",142,3.35,49
"Matthew Stafford","QB","LAR",249,16.5,6.91,229,273,-33.4,-35.1,-34.7,567,443,456,25,"7",148,4.61,51
"Omar Speights","LB","LAR",55.4,0.636,0.234,55,55.9,-33.8,-32.3,-35.1,571,426,461,49,"8",NA,NA,80
"Divine Deablo","LB","ATL",55.2,7.35,1.35,49.8,59.9,-34.1,-37.5,-31.1,573,457,435,50,"8",NA,NA,92
"Theo Johnson","TE","NYG",112,26.9,0.632,58.2,141,-35.1,-73.3,-34.7,580,538,457,31,"8",184,1.02,91
"Trevin Wallace","LB","CAR",53.8,17,0.237,41.3,64.7,-35.4,-45.9,-26.2,586,487,400,51,"8",NA,NA,90
"Germaine Pratt","LB","LVR",53.6,26.9,0.501,36.4,73.3,-35.6,-50.9,-17.6,588,498,303,52,"8",NA,6.02,93
"Robbie Ouzts","TE","SEA",111,NA,8.02,NA,NA,-35.7,NA,NA,589,NA,NA,32,"9",NA,NA,99
"Denzel Perryman","LB","LAC",53.1,NA,0.062,NA,NA,-36.1,NA,NA,592,NA,NA,53,"8",NA,NA,75
"Nakobe Dean","LB","PHI",53,3.11,0.114,51,55.3,-36.2,-36.2,-35.6,595,450,467,54,"8",NA,6.67,76
"Nick Chubb","RB","HOU",112,31.4,0.688,73.5,157,-36.3,-39.7,-28.9,597,467,419,45,"11",124,5.21,88
"Demetrius Knight","LB","CIN",52.9,6.22,0.124,48.4,56.9,-36.3,-38.9,-34.1,598,462,449,55,"8",NA,NA,58
"Marcelino McCrary-Ball","LB","NYJ",52.8,NA,1.1,NA,NA,-36.4,NA,NA,600,NA,NA,56,"9",NA,NA,NA
"Jaydon Blue","RB","DAL",111,17.6,2.23,90.7,140,-37,-22.6,-45.6,609,346,507,46,"11",138,3.39,48
"Jeremiah Trotter Jr.","LB","PHI",51.7,NA,0.8,NA,NA,-37.5,NA,NA,613,NA,NA,57,"9",NA,NA,NA
"Jeremiah Owusu-Koramoah","LB","CLE",50.9,NA,0.26,NA,NA,-38.3,NA,NA,619,NA,NA,58,"9",NA,NA,99
