"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Tyrone Tracy","RB","NYG",191,22,8.39,159,225,42.9,45.9,38.8,52,53,46,26,"7",83.2,8.3,30
"Garrett Wilson","WR","NYJ",240,15,4.39,223,265,39.6,50.5,25.7,53,50,57,18,"4",48,19.9,12
"Travis Kelce","TE","KC",183,19.9,4.43,154,207,36.2,22.4,32,54,68,51,5,"4",67,12,46
"Marvin Harrison Jr.","WR","ARI",236,17,0.146,210,262,35.2,37.8,22.2,55,57,63,19,"4",43.9,19.8,21
"D.J. Moore","WR","CHI",236,18.7,3.67,215,267,35.1,42.6,27.5,56,55,53,20,"4",56,14.6,39
"Isiah Pacheco","RB","KC",183,24.6,6.44,143,212,34.5,29.4,26.1,57,64,56,27,"8",64.3,14.4,43
"Patrick Mahomes","QB","KC",314,13.4,9.26,295,332,32.3,31.3,23.6,58,62,60,6,"3",47.3,16.5,11
"T.J. Hockenson","TE","MIN",179,13.5,2.63,158,197,31.8,26.6,21.4,59,65,65,6,"4",71.3,8.39,17
"DK Metcalf","WR","PIT",232,5.69,0.772,225,240,31.4,53.3,0.37,60,47,126,21,"4",50.3,16.8,3
"Courtland Sutton","WR","DEN",231,18.8,3.03,215,262,30.6,43.1,22.2,61,54,62,22,"5",56.5,17.6,26
"Mark Andrews","TE","BAL",176,8.58,2.18,163,187,29.2,31.8,11.6,62,61,79,7,"4",73.8,7.39,14
"Jaylen Warren","RB","PIT",176,20.6,8.66,149,204,28.1,36.2,17.5,63,59,66,28,"8",92.6,6.69,29
"Zay Flowers","WR","BAL",228,17.3,0.936,197,247,27.6,24.8,7.55,64,66,91,23,"5",66.9,10,33
"David Njoku","TE","CLE",174,12.8,10.5,153,189,27,21.4,13.6,65,69,73,8,"5",90.5,5.98,23
"DeVonta Smith","WR","PHI",227,15.4,2.49,211,251,26.7,38.8,10.9,66,56,80,24,"5",61.6,12.5,15
"Xavier Worthy","WR","KC",225,21,1.37,191,252,24.2,18.9,11.9,67,71,78,25,"5",56.5,13,57
"Kyler Murray","QB","ARI",305,18.8,0.985,281,333,23,17.6,25.1,68,74,58,7,"3",84.8,7.11,46
"Jerry Jeudy","WR","CLE",223,22.9,0.843,190,262,22.8,17.7,22.6,69,73,61,26,"5",84.2,8.33,49
"Baker Mayfield","QB","TB",304,17.3,2.76,281,323,22,17.2,15,70,75,71,8,"3",57.5,10.9,29
"Calvin Ridley","WR","TEN",222,16.5,1.09,204,249,22,32.5,9.27,71,60,86,27,"5",68.2,12.9,28
"Tetairoa McMillan","WR","CAR",221,22.9,5,181,255,20.9,8.88,15.6,72,99,69,28,"5",66.4,13.6,61
"Austin Ekeler","RB","WAS",168,16.2,2.9,137,186,19.4,23.6,0,73,67,130,29,"8",109,6.94,49
"Bo Nix","QB","DEN",301,16.8,7.77,275,325,19.2,11.4,16.7,74,88,68,9,"4",67.6,9.31,26
"Brian Branch","DB","DET",107,8.2,3.58,102,113,17.8,17.9,15.1,75,72,70,1,"1",NA,6.48,16
"Brandon Aubrey","K","DAL",164,14,13.7,138,179,16.6,0,21.6,76,130,64,1,"1",109,4.17,23
"Kaleb Johnson","RB","PIT",165,23.9,12.3,125,197,16.5,11.3,10.7,77,90,81,30,"9",82.3,8.06,65
"Evan Engram","TE","DEN",163,17.2,0.497,138,184,16.5,6.04,8.46,78,102,88,9,"5",96.9,6.65,31
"Tyler Warren","TE","IND",163,19.4,8.88,144,204,16,12.9,29,79,82,52,10,"6",98.4,7.77,63
"Jameson Williams","WR","DET",216,13.5,6.11,203,240,15.9,30.8,0.157,80,63,128,29,"5",61.8,11.1,18
"Kerby Joseph","DB","DET",104,8.84,0.657,98.1,110,14.2,13.9,12,81,80,76,2,"1",NA,11.9,63
"Jessie Bates","DB","ATL",103,4.17,2.58,100,106,13.6,16.2,7.95,82,77,90,3,"1",NA,13.7,12
"Zack Baun","LB","PHI",101,9.12,1.36,95.1,108,11.7,7.87,16.7,83,100,67,1,"1",NA,14.7,42
"Brock Purdy","QB","SF",294,10.9,5.49,277,311,11.5,13.3,3.19,84,81,108,10,"4",90.8,5.85,60
"Maxx Crosby","DL","LVR",53.9,3.25,1.22,51.5,56,11,11.4,10.1,86,89,83,1,"1",NA,17.2,8
"Julian Love","DB","SEA",101,0.849,0.545,100,101,11,15.7,2.93,85,79,110,4,"1",NA,7.15,1
"Kyle Hamilton","DB","BAL",100,4.6,1.91,97.1,103,10.5,12.8,5.14,87,83,99,5,"1",NA,14.8,11
"Zaire Franklin","LB","IND",99.6,2.12,2.26,98.1,101,10.4,10.8,10,88,93,84,2,"1",NA,17.1,1
"Andrew Van Ginkel","DL","MIN",52.6,0.99,5.65,52,53.4,9.78,11.9,7.51,89,87,92,2,"2",NA,9.77,3
"Andrew Van Ginkel","DL","MIN",52.6,0.99,5.65,52,53.4,9.78,11.9,7.51,89,87,92,2,"2",NA,9.77,44
"Travis Hunter","WR","JAC",210,26.3,1.39,183,252,9.77,10.9,12.9,90,91,74,30,"5",77.3,8.89,74
"Travis Hunter","WR","JAC",210,26.3,1.39,183,252,9.77,10.9,12.9,90,91,74,30,"5",77.3,8.89,93
