"","X","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"184",181,"Geno Smith","QB","SEA",283,17.1,5.98,256,306,-30.1,-24.3,-41.5,184,163,195,23,6,154,2.76,60,316,-33,-9999
"185",185,"Nick Chubb","RB","CLE",137,31.9,0.0389,103,181,-33.4,-50.3,-22.4,185,197,161,36,8,92.9,9.67,96,171,-34,-38
"186",186,"Jerome Ford","RB","CLE",137,24.2,2.72,97.1,166,-33.5,-55.9,-37.6,185,213,188,36,9,110,6.59,62,171,-34,-38
"187",180,"Noah Fant","TE","SEA",89.6,8.85,7.27,77.6,104,-29.5,-21.3,-38.6,187,154,192,24,9,165,2.05,44,124,-34.4,-85.4
"188",187,"Jaxon Smith-Njigba","WR","SEA",156,17,5.18,136,185,-34,-35.5,-25.3,188,179,168,41,8,107,5.23,60,191,-35,-19
"189",190,"Gus Edwards","RB","LAC",134,33.1,4.76,85.8,188,-36.2,-67.2,-15.7,189,228,133,38,9,104,5.94,87,171,-37,-41
"190",189,"Daniel Jones","QB","NYG",277,23.9,3.15,244,307,-36.1,-36.2,-40,190,181,193,24,6,170,3.46,74,316,-39,-9999
"191",195,"Courtland Sutton","WR","DEN",151,6.43,2.67,144,163,-39.2,-27.9,-47.1,191,168,205,42,8,112,5.8,6,191,-40,-24
"192",196,"Jonathon Brooks","RB","CAR",130,29.1,4.35,95.4,183,-40.9,-57.6,-21.2,192,217,158,39,9,96.2,7.78,86,171,-41,-45
"193",202,"Cade York","K","WAS",97.8,36.2,18.8,31.9,123,-45.8,-101,-33.4,193,327,184,32,7,170,0,99,139,-41.2,-9999
"194",191,"Isaiah Likely","TE","BAL",82.3,19.1,1.84,63.7,119,-36.7,-35.2,-24.5,194,178,167,25,9,154,2.45,76,124,-41.7,-92.7
"195",194,"Derek Carr","QB","NO",274,18.4,10.8,253,295,-39.2,-27.9,-51.8,195,170,212,25,7,163,4.54,71,316,-42,-9999
"196",197,"Jameson Williams","WR","DET",149,16.9,0.699,131,181,-41.8,-40.5,-29.7,195,185,178,43,8,115,3.88,69,191,-42,-26
"197",198,"Xavier Worthy","WR","KC",148,19.8,0.644,118,181,-42.5,-54.3,-29.4,197,209,177,44,8,94,7.97,83,191,-43,-27
"198",192,"Darren Waller","TE","FA",80.5,,0.383,,,-38.6,,,198,,,26,9,,,,124,-43.5,-94.5
"199",193,"Jonnu Smith","TE","MIA",80.1,18.5,5.26,63,114,-39,-35.8,-28.9,199,180,176,27,9,174,2.36,85,124,-43.9,-94.9
"200",199,"Jakobi Meyers","WR","LVR",147,22.1,3.65,125,180,-43.2,-47.3,-30.3,200,192,179,45,9,139,3.23,77,191,-44,-28
"201",201,"Chuba Hubbard","RB","CAR",125,20.7,4.33,101,158,-45.3,-52.1,-46.2,201,202,200,40,9,128,4.15,44,171,-46,-50
"202",203,"Ladd McConkey","WR","LAC",144,15.9,0.355,121,172,-46.8,-50.5,-38.4,202,199,191,46,9,110,5.43,70,191,-47,-31
