"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"125","Minkah Fitzpatrick","DB","PIT",106,16.3,0.332,92.5,123,0.678,2.33,-0.859,125,120,137,7,"1",NA,10.9,48
"126","Logan Wilson","LB","CIN",123,25.2,0.357,109,152,0.357,7.67,-11,126,99,199,9,"1",NA,7.54,22
"127","Chauncey Gardner-Johnson","DB","DET",105,12.5,0.274,97.9,119,0.346,7.72,-4.95,127,98,161,8,"1",NA,8.57,33
"128","George Pickens","WR","PIT",158,16.6,0.13,144,189,0.13,8.13,9.84,128,96,103,35,"6",82.4,9.9,32
"129","Harrison Smith","DB","MIN",105,12.6,0.0728,94.1,118,0.0728,3.84,-6.16,129,112,174,9,"1",NA,5.42,37
"130","Geno Smith","QB","SEA",328,14.8,9.01,308,347,0,5.02,2.4,130,107,119,13,"5",116,6.38,14
"131","Antonio Gibson","RB","WAS",146,15.7,11,128,172,0,12.1,0,130,82,130,35,"8",109,6.22,6
"132","Jahan Dotson","WR","WAS",158,13.3,5.35,144,179,0,8.53,0,130,95,130,36,"7",92,5.76,15
"133","Juwan Johnson","TE","NO",108,20.2,0.00934,89.3,139,0,-8.12,2.94,130,184,117,13,"6",136,3.88,71
"134","Tyler Bass","K","BUF",141,11.1,2.73,121,154,0,-7.8,-0.638,130,181,134,8,"2",135,2.29,32
"135","Cowboys","DST","DAL",96.6,9.26,0.82,84.3,107,0,-0.613,-3.76,130,134,152,3,"3",113,2.61,26
"136","Harold Landry","DL","TEN",74.6,7,0.086,70.1,79.7,0,1.56,-11.1,130,124,200,10,"3",NA,7.66,36
"137","Bobby Wagner","LB","SEA",123,30.1,0.273,103,157,0,1.72,-5.89,130,122,169,10,"1",NA,17,37
"138","Jaquan Brisker","DB","CHI",105,28.1,2.13,83.1,136,0,-7.15,11.7,130,174,97,10,"1",NA,10.1,91
"139","Chigoziem Okonkwo","TE","TEN",108,11,0.8,98.8,130,-0.00934,1.38,-6.29,131,125,177,14,"6",142,3.21,20
"140","Jonathan Allen","DL","WAS",74.5,19,0.213,61.6,96.1,-0.086,-6.93,5.31,132,172,109,11,"3",NA,6.24,76
"141","Fred Warner","LB","SF",122,45.5,0.386,96.7,175,-0.273,-4.39,11.7,133,150,96,11,"1",NA,10.9,88
"142","Danielle Hunter","DL","MIN",74.3,17.6,0.165,62.7,94.4,-0.299,-5.88,3.59,134,161,116,12,"3",NA,11,69
"143","Aidan Hutchinson","DL","DET",74.1,0.455,1.92,73.6,74.5,-0.464,5.08,-16.3,135,106,255,13,"3",NA,NA,2
"144","Bobby Okereke","LB","NYG",122,40,3.76,97.2,168,-0.66,-3.89,4.88,136,148,112,12,"1",NA,14.9,76
"145","Cole Kmet","TE","CHI",108,13.7,3.06,85.7,123,-0.81,-11.7,-13.4,137,218,221,15,"6",130,2.65,46
"146","Chiefs","DST","KC",95.8,7.74,3.36,84.9,106,-0.82,0,-4.83,138,130,159,4,"4",159,0.71,10
"147","Marcus Maye","DB","NO",103,8.23,0.964,94.8,110,-2.13,4.55,-14,139,108,235,11,"1",NA,3.07,15
"148","Zaven Collins","DL","ARI",72.2,NA,0.0345,NA,NA,-2.39,NA,NA,140,NA,NA,14,"3",NA,NA,NA
"149","Cameron Jordan","DL","NO",72.2,15.7,1.54,62.6,90.1,-2.42,-5.95,-0.716,141,162,136,15,"3",NA,5.88,62
"150","Brett Maher","K","DEN",138,19.1,0.98,117,171,-2.73,-11.7,16,142,217,85,9,"2",172,1.99,94
"151","Kamren Curl","DB","WAS",102,27.8,1.9,85.7,134,-3.1,-4.52,9.32,143,151,104,12,"1",NA,4.8,89
"152","Greg Joseph","K","MIN",137,5.84,0.0276,129,147,-3.71,0.39,-8.12,144,127,183,10,"2",173,1.51,13
"153","Riley Patterson","K","DET",137,10.8,0.827,125,155,-3.73,-4.22,0,145,149,130,11,"2",175,1.96,48
"154","Greg Dulcich","TE","DEN",105,10.9,0.576,90.8,118,-3.87,-6.59,-17.8,146,170,265,16,"6",143,1.46,40
"155","Christian Wilkins","DL","MIA",70.6,2.47,0.118,69,72.4,-3.96,0.49,-18.4,147,126,273,16,"3",NA,7.87,18
"156","Brian Burns","DL","CAR",70.5,12,1.13,63.3,84.3,-4.08,-5.28,-6.52,148,156,179,17,"4",NA,8.16,51
"157","Steelers","DST","PIT",92.4,11.7,0.129,79.3,111,-4.18,-5.54,0,149,159,130,5,"4",138,1.78,61
"158","49ers","DST","SF",92.3,4.9,1.26,84.4,97.1,-4.31,-0.451,-14,150,132,234,6,"5",94.9,3.92,3
"159","Harold Landry","LB","TEN",118,NA,0.531,NA,NA,-4.42,NA,NA,151,NA,NA,13,"1",NA,7.66,NA
"160","Gerald Everett","TE","LAC",104,9.55,3.49,91.3,118,-4.45,-6.15,-18.3,152,165,270,17,"6",152,1.75,31
"161","Brandon McManus","K","JAC",136,5.3,0.383,129,144,-4.56,0.174,-10.5,153,129,193,12,"2",171,1.17,1
"162","Cameron Dicker","K","LAC",136,14.1,0.574,116,150,-4.94,-13.1,-4.6,154,231,157,13,"2",167,1.33,84
"163","Jordyn Brooks","LB","SEA",118,39.8,1.26,89.2,163,-4.95,-11.9,0,155,220,130,14,"1",NA,8.45,73
"164","Eddie Jackson","DB","CHI",99.9,23.4,0.00957,83,126,-5,-7.27,1.92,156,176,121,13,"1",NA,3.82,80
"165","L'Jarius Sneed","DB","KC",99.9,19.3,0.776,87.8,122,-5.01,-2.39,-2.38,157,142,146,14,"1",NA,5.86,67
"166","Cameron Heyward","DL","PIT",69.4,21,0.55,49.8,91.3,-5.21,-18.7,0.449,158,295,126,18,"4",NA,7.94,84
"167","Brandin Cooks","WR","DAL",152,22.1,1.62,113,174,-5.35,-22.7,-5.25,159,332,164,37,"7",102,6.83,56
"168","Jake Elliott","K","PHI",135,13.4,0.843,118,155,-5.52,-10.9,0.259,160,213,128,14,"2",152,2.06,61
"169","Commanders","DST","WAS",91,12.3,0.0591,74.7,106,-5.57,-10.2,-4.71,161,204,158,7,"5",168,0.5,74
"170","Packers","DST","GB",90.9,5.3,0.0152,84.2,97.5,-5.63,-0.702,-13.6,162,135,225,8,"5",160,1,6
"171","Bills","DST","BUF",90.9,4.69,0.423,85.3,99,-5.64,0.382,-12.1,163,128,210,9,"6",121,1.86,1
"172","Sam Hubbard","DL","CIN",68.8,14.4,1.13,58.6,85.1,-5.76,-9.97,-5.7,164,201,168,19,"4",NA,6,55
"173","Jeremy Chinn","DB","CAR",99.1,4.52,0.286,94.6,103,-5.78,4.42,-21.2,165,110,295,15,"1",NA,9.02,4
"174","Dolphins","DST","MIA",90.5,7.67,0.481,82.2,101,-6.07,-2.65,-10.2,166,143,192,10,"6",155,1,16
"175","Isaiah Simmons","DB","NYG",98.8,NA,0.927,NA,NA,-6.07,NA,NA,167,NA,NA,16,"1",NA,6.07,NA
"176","Drue Tranquill","LB","KC",116,40.9,2.24,91.2,163,-6.21,-9.95,0.492,168,200,125,15,"1",NA,3.86,80
"177","Jake Moody","K","SF",135,7.86,1.03,122,143,-6.36,-6.49,-12.1,169,167,207,15,"2",170,1.46,42
"178","Browns","DST","CLE",90,9.82,0.597,76,105,-6.55,-8.92,-5.68,170,190,167,11,"7",163,1,19
"179","Jeffery Simmons","DL","TEN",67.7,14.7,0.462,58.7,84.6,-6.89,-9.86,-6.22,171,199,176,20,"4",NA,NA,58
