"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","return_tds","return_tds_sd","fg_miss","fg_miss_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"43","Christian McCaffrey","CAR","RB","2557997","robust",NA,NA,NA,NA,NA,NA,1042.675,101.78049,7.7325,0.941451,1.73333333333333,0,0.53,0,88.225,3.63237,762.475,45.6789059999999,4.4575,0.481845,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Najee Harris","PIT","RB","2566448","robust",NA,NA,NA,NA,NA,NA,1185.275,49.7412299999999,8.16393939393939,1.76114909090909,2.06666666666667,0,0.08,0,63,5.9304,404.07,35.819616,2.5,0.7413,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Cam Akers","LAR","RB","2564319","robust",NA,NA,NA,NA,NA,NA,1056.695,53.736837,7.4875,0.630105,3.7825,0.0815429999999999,0.12,0,34.6525,5.581989,292.9425,87.4734,1.225,0.2038575,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Undisclosed",0,2022
"46","Saquon Barkley","NYG","RB","2560968","robust",NA,NA,NA,NA,NA,NA,1070.305,105.420273,7.115,1.979271,1.543125,0.0426247500000001,0,NA,59.515,4.692429,428.6475,13.306335,2.51926174496644,0.659757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","J.K. Dobbins","BAL","RB","2563548","robust",NA,NA,NA,NA,NA,NA,955.745,23.017365,8.45,1.92738,0.76,0.177912,0.16,0,30.91,7.842954,227.0975,53.054841,1,0.526323,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Knee - ACL",0,2022
"48","Elijah Mitchell","SF","RB","2566538","robust",NA,NA,NA,NA,NA,NA,1111.055,111.9363,7.44813432835821,0.81543,1.46666666666667,0,0.11,0,26.075,6.44931,188.1475,54.8562,1.24,0.355824,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Hamstring",0,2022
"49","D'Andre Swift","DET","RB","2563965","robust",NA,NA,NA,NA,NA,NA,921.5475,109.7124,7.36338235294118,1.73943864705882,1.903125,0.10192875,0.13,0,64.925,6.501201,474.875,32.276202,2.395,0.738683647058824,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Miles Sanders","PHI","RB","2562722","robust",NA,NA,NA,NA,NA,NA,996.2975,88.5112200000001,5.36684210526316,0.830256,1.7,0.0741299999999999,1.59,0,32,2.07564,220.9075,18.5325,1,0.113145789473684,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Hamstring",0,2022
"51","Austin Ekeler","LAC","RB","2559169","robust",NA,NA,NA,NA,NA,NA,942.5,74.13,9.2578947368421,0.926625,2.43333333333333,0,0.53,0,76.245,5.75990100000001,684,70.801563,5.70460526315789,0.829085526315789,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Javonte Williams","DEN","RB","2566049","robust",NA,NA,NA,NA,NA,NA,1079.39,93.99684,7.4275,0.59304,1.780625,0.0796897499999999,0.17,0,46.805,3.92889,349.415,41.409018,2.555,0.459606,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Ezekiel Elliott","DAL","RB","2555224","robust",NA,NA,NA,NA,NA,NA,1039.4,94.9012260000002,8.32706766917293,1.30758631578947,2.405,0.0111194999999998,1.59,0,44.4725,9.718443,293.125,52.6323,2.0475,0.22239,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Alvin Kamara","NO","RB","2558019","robust",NA,NA,NA,NA,NA,NA,953.55,103.782,7.38784722222222,0.629075416666667,1.5,0,0,NA,60,1.593795,529.05,20.7564,4.04930555555556,0.584597416666666,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Leonard Fournette","TB","RB","2557973","robust",NA,NA,NA,NA,NA,NA,964.3225,55.1749589999999,9.1,0.934038000000001,1.43333333333333,0,0,NA,65.525,6.6717,446,42.9954,2.18284482758621,0.659757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Breece Hall","NYJ","RB","2568030","robust",NA,NA,NA,NA,NA,NA,926.1975,144.397827,6.11,0.96369,1.8,0,0.17,0,37.95,5.700597,303.2525,48.25863,1.505,0.429954,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Aaron Jones","GB","RB","2558116","robust",NA,NA,NA,NA,NA,NA,916.6,112.82586,6.025,1.341753,1.495,0.00370649999999992,0,NA,62.665,6.22692,500.75,61.5279,3.95,0.81543,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Dameon Pierce","HOU","RB","2567685","robust",NA,NA,NA,NA,NA,NA,696.375,418.500915,5.065,1.63086,1.2775,0.01667925,0.05,0,24.315,15.5673,191.495,128.2449,0.83,0.911799,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Josh Jacobs","LVR","RB","2562377","robust",NA,NA,NA,NA,NA,NA,975.205,106.7472,8,1.4826,2.2375,0.0370649999999999,0,NA,39.25,6.404832,280.75,40.171047,0.82378640776699,1.08611245631068,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","David Montgomery","CHI","RB","2562502","robust",NA,NA,NA,NA,NA,NA,992.875,66.6502829999999,7.7475,1.252797,1.53125,0.1297275,0.53,0,45.64,4.032672,363.1,42.832314,1.87692307692308,0.182473846153846,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Undisclosed",0,2022
"61","James Conner","ARI","RB","2557978","robust",NA,NA,NA,NA,NA,NA,918.8825,86.309559,10.15,1.304688,1.2925,0.22794975,0,NA,45.47,6.00453,378.25,46.7019,2.2975,0.252042,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Damien Harris","NE","RB","2562281","robust",NA,NA,NA,NA,NA,NA,976.75,29.844738,9.21,1.282449,1.454375,0.05374425,0.03,0,17.9375,3.63237,136.4075,58.836981,0.335,0.496671,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Undisclosed",0,2022
"63","Antonio Gibson","WAS","RB","2565276","robust",NA,NA,NA,NA,NA,NA,766.205,40.69737,5.515,0.7413,2.27,0.348411,0.57,0,32.54,2.2239,252.8075,65.130618,1.4425,0.629743390243902,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Brian Robinson","WAS","RB","2568348","robust",NA,NA,NA,NA,NA,NA,688.7675,138.674991,4.9375,0.618066794871795,1.456875,0.25389525,0.17,0,21.51,5.55975,155.86,62.106114,0.5925,0.671795205128205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
