"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"93","Javonte Williams","RB","DEN",169,16.5,2.19,155,196,-1.11,1.56,-7.4,88,78,102,27,"7",90.4,10.5,25
"94","Tua Tagovailoa","QB","MIA",311,26,1.58,278,361,-2.28,-2.37,13.8,89,92,50,15,"4",107,6.4,51
"95","Tee Higgins","WR","CIN",187,9.88,2.39,178,203,-3.09,6.2,-6.86,90,69,99,26,"6",63.2,13.7,7
"96","Devin Singletary","RB","NYG",167,23.2,6.69,147,204,-3.3,-6.02,0,91,103,82,28,"7",91.9,8.43,55
"97","Colts","DST","IND",95.8,14.8,1.14,77.6,116,-3.32,-11.7,3.24,92,123,73,5,"4",166,0.5,84
"98","Cairo Santos","K","CHI",140,11.1,1.2,126,156,-3.56,-6.21,0,93,105,82,11,"2",167,1.56,48
"99","Jayden Daniels","QB","WAS",310,24.6,3.18,281,336,-3.87,0.779,-11.5,94,80,118,16,"4",101,10.1,40
"100","Texans","DST","HOU",94.6,11.2,0.179,82.2,109,-4.47,-7.17,-3.95,95,107,91,6,"4",158,0.6,45
"101","49ers","DST","SF",94.5,4.8,1.18,90.2,103,-4.64,0.804,-10.2,96,79,115,7,"5",107,2.73,10
"102","Jake Moody","K","SF",139,6.59,0.207,129,147,-4.76,-4.1,-9.1,97,101,109,12,"2",153,1.6,10
"103","Blake Grupe","K","NO",139,11.6,0.063,122,153,-4.97,-10.2,-3,98,120,87,13,"2",166,0.984,61
"104","Cole Kmet","TE","CHI",114,26.8,0.000339,73,143,-5,-25.9,-0.158,99,165,83,14,"6",137,2.95,99
"105","Pat Freiermuth","TE","PIT",114,19,0.434,82,137,-5,-16.9,-6.18,100,141,95,15,"6",133,3.04,62
"106","Matt Gay","K","IND",139,7.32,0.41,131,150,-5.03,-1.5,-6.14,101,89,94,14,"2",166,1.28,6
"107","T.J. Hockenson","TE","MIN",114,24.4,7.93,70.1,143,-5.43,-28.7,0,102,172,82,16,"7",129,5.24,97
"108","Tyler Bass","K","BUF",138,6.89,0.388,132,149,-5.44,-0.266,-7.34,103,85,101,15,"3",164,1.26,16
"109","Malik Nabers","WR","NYG",185,10.9,0.589,172,204,-5.48,-0.175,-6.48,104,83,97,27,"6",53.4,22,17
"110","Bills","DST","BUF",93.3,10.1,0.343,81.2,106,-5.82,-8.18,-7.49,105,115,103,8,"5",136,0.917,42
"111","Jason Sanders","K","MIA",138,6.99,2.7,131,150,-5.83,-1.54,-6.3,106,90,96,16,"3",163,1.43,19
"112","Zay Flowers","WR","BAL",184,7.18,3.47,176,196,-6.07,4.53,-13.8,107,73,124,28,"6",66.4,11.3,3
"113","Chiefs","DST","KC",92.9,4.5,0.257,85.5,98.1,-6.17,-3.85,-14.9,108,100,129,9,"5",140,1.18,3
"114","Eagles","DST","PHI",92.7,8.92,0.357,82.1,102,-6.42,-7.27,-11.1,109,108,117,10,"6",160,0.65,26
